DatabaseName;Login_Name;Permission_Name;Permission_Type;Principal_Name
AUDITORIA;null;CONNECT;DATABASE;teste
AUDITORIA;null;db_owner;DATABASE_ROLE;teste
AUDITORIA;null;MeuRole;DATABASE_ROLE;teste
msdb;null;UtilityIMRReader;DATABASE_ROLE;UtilityIMRWriter
AdventureWorks2019;null;CONNECT;DATABASE;vicente
AdventureWorks2019;null;db_owner;DATABASE_ROLE;vicente
AUDITORIA;null;CONNECT;DATABASE;vicente
AUDITORIA;null;db_owner;DATABASE_ROLE;vicente
BANCO_AUDITADO;null;CONNECT;DATABASE;vicente
BANCO_AUDITADO;null;db_owner;DATABASE_ROLE;vicente
