Category;FreeSpace_MB;Information;TotalSpace_MB;Vs_file_system_type;Vs_is_compresse;Vs_logical_volume_name;Vs_volume_mount_point
Information;259578;Disk_Space;1907728;NTFS;0;DADOS;D:\
Information;371840;Disk_Space;457268;NTFS;0;SISTEMA;C:\
